gene,log2FoldChange,p_value,adj_p_value,significant
ENSG00000065243.20,-0.11759982278577086,7.27535506212149e-14,1.9554137010178816e-13,False
ENSG00000065268.11,0.17457330981345187,1.0344384535240295e-16,3.222957509909453e-16,False
ENSG00000065308.5,-0.06482609574140596,1.1585286152858058e-05,1.8903268281271054e-05,False
ENSG00000065320.9,-0.12645264601441042,8.843075997061527e-06,1.45476358773906e-05,False
ENSG00000065328.17,0.9331785702551557,2.9073400842208593e-57,6.137964549308008e-56,True
ENSG00000065357.20,0.021143139672627598,0.42625281581784136,0.459450420635353,False
ENSG00000065361.16,0.363393932516455,7.089424390821159e-08,1.3438646143624206e-07,False
ENSG00000065413.20,-0.09745118926360807,3.240490734336819e-05,5.134412608191079e-05,False
ENSG00000065427.15,-0.03123618866778699,3.0432268799209985e-07,5.531745738351304e-07,False
ENSG00000065457.10,0.012122449603263252,0.4206463171294119,0.45370198156941577,False
ENSG00000065485.20,0.12145699066426197,2.707263206822165e-11,6.281365443792926e-11,False
ENSG00000065491.8,0.04950062660747223,0.0007864236902853438,0.001121608484451654,False
ENSG00000065518.8,0.09402835147923216,4.96908230239615e-39,4.525628525025341e-38,False
ENSG00000065526.12,-0.13173219601516628,4.189116740667499e-15,1.1970759978411654e-14,False
ENSG00000065534.19,-0.6154874629429239,3.2680374995029637e-53,5.7507756380437095e-52,True
ENSG00000065548.18,0.051304745652057004,9.029370193246724e-11,2.0388266292929125e-10,False
ENSG00000065559.15,-0.050994390863928096,4.23030925901573e-05,6.637457625199228e-05,False
ENSG00000065600.13,0.38102201017090764,1.1572430834777214e-38,1.0385771621000167e-37,False
ENSG00000065613.15,-0.10967395569742244,1.113673865259672e-17,3.66164139491163e-17,False
ENSG00000065615.14,-0.009789468332582318,0.5259710927580792,0.5583038644679567,False
ENSG00000065618.21,-0.9587258360905551,2.3085331163581047e-21,9.255327019291228e-21,True
ENSG00000065621.15,0.0919745442894353,0.132843732536496,0.1532755456619813,False
ENSG00000065665.21,0.2495134148386562,1.0653230766097796e-23,4.8024914787456347e-23,False
ENSG00000065675.15,-0.2605204727828663,4.879291024961065e-11,1.1177105917753163e-10,False
ENSG00000065717.15,-0.23070960071231417,1.2128946044616417e-33,8.781314601412079e-33,False
ENSG00000065802.12,-0.2840310385915936,5.988560875557839e-76,2.7077433016078145e-74,False
ENSG00000065809.13,-0.0454032364443826,0.008341316477138528,0.010914645178819876,False
ENSG00000065833.9,-0.35676565414472616,1.0685201605091994e-16,3.3247747128238613e-16,False
ENSG00000065882.16,-0.037324148370426524,0.00024967860851820954,0.0003705210901226229,False
ENSG00000065883.16,0.025016152865047214,0.09575861254023536,0.11222674034131405,False
ENSG00000065911.13,0.3717808809044456,6.592595873477178e-34,4.829913285849019e-33,False
ENSG00000065923.10,0.040746013752607,0.3921664307055739,0.42502839469194,False
ENSG00000065970.9,-0.08562343075563073,6.607644402186052e-15,1.8691996455826005e-14,False
ENSG00000065978.19,-0.03521118958955194,1.712230242495789e-09,3.601565299020804e-09,False
ENSG00000065989.16,-0.05891236049845627,0.00041206935238924744,0.0006006569600796884,False
ENSG00000066027.12,-0.040210812537842866,4.5545877275993954e-05,7.126716525392207e-05,False
ENSG00000066044.15,0.1368542078219459,3.115510708341024e-32,2.1266468405681184e-31,False
ENSG00000066056.14,-0.33829334714925663,6.929363678683305e-54,1.2594289253457914e-52,False
ENSG00000066084.13,0.028908661665158153,0.09143012792284844,0.10747266010850372,False
ENSG00000066117.15,0.011072436347248082,0.26576126452962423,0.29540105992394566,False
ENSG00000066135.13,0.08824889978637662,3.4433013686561805e-07,6.235065791300814e-07,False
ENSG00000066136.20,0.01390471461026177,0.20595591723330292,0.23220767023844469,False
ENSG00000066185.13,-0.0457069031066919,0.025535097581834712,0.03187133578585673,False
ENSG00000066248.15,0.20044626809268218,4.848345337209225e-06,8.129895162252413e-06,False
ENSG00000066279.18,1.1908516071764295,1.0276432001859904e-54,1.9444368601922832e-53,True
ENSG00000066294.15,0.13806722802282456,0.00014598248346084456,0.00022037494002868265,False
ENSG00000066322.15,0.048454884472860726,8.993134112094101e-08,1.6958189483646537e-07,False
ENSG00000066336.12,0.15612480167516152,2.204183724939795e-09,4.599047495492387e-09,False
ENSG00000066379.15,0.1595214595418184,1.0295130673289308e-16,3.208214054320428e-16,False
ENSG00000066382.16,-0.6749952305115414,2.2962846426095547e-53,4.0493674133329384e-52,True
ENSG00000066422.5,0.0020957334792006677,0.9041807013907581,0.9148207157416157,False
ENSG00000066427.24,-0.1211754695286662,1.1125773500918766e-12,2.7909461145010736e-12,False
ENSG00000066455.13,0.0579281097566553,4.666831280727801e-10,1.0120412738159583e-09,False
ENSG00000066468.23,-0.20646651416621342,3.1386829510472392e-06,5.329851093908912e-06,False
ENSG00000066557.6,-0.026068635363680315,0.04954366530076265,0.060039989921920354,False
