gene,log2FoldChange,p_value,adj_p_value,significant,neg_log10_p
ENSG00000149527.18,-0.5051126005250861,5.508032879290424e-12,1.324833999115021e-11,True,10.87783853514964
ENSG00000149554.13,0.5137056282218126,2.190082715616443e-37,1.86561768906259e-36,True,35.729177349089895
ENSG00000149557.14,-0.5485814478987954,1.602973057840379e-57,3.401500629386605e-56,True,55.46832944434501
ENSG00000149596.7,-0.9910115754501807,3.882860909323339e-54,7.135348164929289e-53,True,52.146584830899926
ENSG00000149968.12,0.6578313720581315,4.606448233748795e-21,1.819985761686369e-20,True,19.739932009622194
ENSG00000150048.10,-0.5977423559146198,2.04121416507775e-70,7.363458229413084e-69,True,68.13291817245371
ENSG00000150337.13,0.6209584553113261,6.21432536648137e-26,3.136268708375665e-25,True,24.503586735029238
ENSG00000150510.17,-0.5775393155339996,1.5956118663926167e-79,8.1469487110520255e-78,True,77.08900501777272
ENSG00000151012.13,0.5022454899059372,3.8789135822952866e-27,2.0783562151956085e-26,True,25.68228001547199
ENSG00000151090.20,-0.5250127122474666,5.674278639418945e-117,1.0579660645226739e-114,True,113.97552826257201
ENSG00000151136.15,-0.5357801572785179,1.6444456112006754e-26,8.524814268123714e-26,True,25.06931507429531
ENSG00000151364.17,-0.8566509887978178,5.716530179737226e-36,4.5848285066486e-35,True,34.338676904270756
ENSG00000151365.2,-0.9935407742025082,5.202108207359059e-83,3.050310374307994e-81,True,80.51565596819705
ENSG00000151468.11,-0.6076152403899018,7.901438866949397e-48,1.0747252176898221e-46,True,45.96870256058141
ENSG00000151623.15,-0.8417811473310679,5.84995664452977e-134,1.9414836111865403e-131,True,130.71186627115003
ENSG00000151632.17,-1.3163813998061338,2.0059322761291006e-67,6.352374082077537e-66,True,65.19706393485703
ENSG00000151651.16,0.662440589242308,7.174255553034185e-37,5.982391791309008e-36,True,35.22312514810314
ENSG00000151725.12,0.6589642749794065,1.6149662486129296e-42,1.7356703322203987e-41,True,40.7605327598586
ENSG00000151789.12,-0.6529399271725791,5.960984162600963e-72,2.3111348409859905e-70,True,69.6361747152791
ENSG00000151790.9,0.9337676024745803,1.714133403263324e-77,8.189555830009197e-76,True,75.08673965206218
ENSG00000151882.11,-0.7757395225662154,2.387489703755799e-29,1.421724563642822e-28,True,27.847184533055316
ENSG00000151914.20,-0.6432920211395401,3.841858087291865e-69,1.2853184092847019e-67,True,66.890989272126
ENSG00000152104.12,-0.5079631634380157,2.365656606494582e-75,1.0330448875834498e-73,True,72.98588080722553
ENSG00000152154.11,-0.7955032736903869,6.540791280789108e-45,7.905163183788381e-44,True,43.10208916063533
ENSG00000152253.9,0.9234099379427545,5.836747218733761e-48,7.997934215331794e-47,True,46.09702217235002
ENSG00000152270.9,-0.9539353856989772,3.134713319359623e-31,2.037502264843462e-30,True,29.69090189983536
ENSG00000152465.18,-0.5208134434767258,2.1114650081755856e-74,8.938176108588181e-73,True,72.04875109270155
ENSG00000152527.14,-0.7435655477527192,2.829984355044037e-71,1.0529318472556223e-69,True,68.97759973832893
